,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,group,item,type,condition,sentence,question,answer,speed,file,duration
0,0,0,0,a1,1,target,plaus,The sister mailed the niece the letter.,Did the niece receive something/someone?,yes,1,1_target_plaus_1.gif,2265
1,1,1,1,a1,2,target,plaus,The mother gave the daughter the candle.,Did the daughter receive something/someone?,yes,2,2_target_plaus_4.gif,5570
2,2,2,2,a1,3,target,plaus,The uncle sold the father the truck.,Did the father receive something/someone?,yes,3,3_target_plaus_8.gif,9950
3,3,3,3,a1,4,target,plaus,The contractor lent the homeowner the saw.,Did the homeowner receive something/someone?,yes,1,4_target_plaus_1.gif,2280
4,4,4,4,a1,5,target,plaus,The sailing club leased the man the boat.,Did the man receive something/someone?,yes,2,5_target_plaus_4.gif,6170
5,5,5,5,a1,6,target,plaus,The girl tossed the boy the apple.,Did the apple receive something/someone?,no,3,6_target_plaus_8.gif,9940
6,6,6,6,a1,7,target,plaus,The daughter passed the mother the bowl.,Did the bowl receive something/someone?,no,1,7_target_plaus_1.gif,2270
7,7,7,7,a1,8,target,plaus,The scuba instructor rented the tourist the equipment.,Did the equipment receive something/someone?,no,2,8_target_plaus_4.gif,6235
8,8,8,8,a1,9,target,plaus,The boy handed the girl the pencil.,Did the pencil receive something/someone?,no,3,9_target_plaus_8.gif,9945
9,9,9,9,a1,10,target,plaus,The nanny threw the child the toy.,Did the toy receive something/someone?,no,1,10_target_plaus_1.gif,2240
10,10,10,10,a1,11,target,plaus,The nephew mailed the aunt the postcard.,Did the postcard receive something/someone?,no,2,11_target_plaus_4.gif,5570
11,11,11,11,a1,12,target,plaus,The father gave the son the car.,Did the car receive something/someone?,no,3,12_target_plaus_8.gif,9930
12,12,12,12,a1,13,target,plaus,The shop sold the student the bike.,Did the bike receive something/someone?,no,1,13_target_plaus_1.gif,2245
13,13,13,13,a1,14,target,plaus,The janitor lent the teacher the mop.,Did the mop receive something/someone?,no,2,14_target_plaus_4.gif,5555
14,14,14,14,a1,15,target,plaus,The car dealer leased the plumber the SUV.,Did the SUV receive something/someone?,no,3,15_target_plaus_8.gif,11175
15,15,15,15,a1,16,target,plaus,The host tossed the contestant the microphone.,Did the contestant receive something/someone?,yes,1,16_target_plaus_1.gif,2300
16,16,16,16,a1,17,target,plaus,The quarterback passed the receiver the ball.,Did the receiver receive something/someone?,yes,2,17_target_plaus_4.gif,5595
17,17,17,17,a1,18,target,plaus,The videostore rented the customer the DVD.,Did the customer receive something/someone?,yes,3,18_target_plaus_8.gif,9985
18,18,18,18,a1,19,target,plaus,The bartender handed the lady the drink.,Did the lady receive something/someone?,yes,1,19_target_plaus_1.gif,2270
19,19,19,19,a1,20,target,plaus,The magician threw the assistant the hat.,Did the assistant receive something/someone?,yes,2,20_target_plaus_4.gif,5575
20,20,20,20,a1,21,target,plaus,The animal lover gave the cat the snack.,Did the cat receive something/someone?,yes,3,21_target_plaus_8.gif,11165
21,21,21,21,a1,22,target,plaus,The restaurant owner gave the mobster the brandy.,Did the brandy receive something/someone?,no,1,22_target_plaus_1.gif,2460
22,22,22,22,a1,23,target,plaus,The overseer gave the serf the seeds.,Did the serf receive something/someone?,yes,2,23_target_plaus_4.gif,5555
23,23,23,23,a1,24,target,plaus,The painter gave the saint the clothes.,Did the clothes receive something/someone?,no,3,24_target_plaus_8.gif,9965
24,24,24,24,a1,25,target,plaus,The undercover cop gave the felon the berries.,Did the felon receive something/someone?,yes,1,25_target_plaus_1.gif,2445
25,25,25,25,a1,26,target,plaus,The queen handed the nun the cloak.,Did the cloak receive something/someone?,no,2,26_target_plaus_4.gif,5545
26,26,26,26,a1,27,target,plaus,The father handed the son the bill.,Did the son receive something/someone?,yes,3,27_target_plaus_8.gif,9945
27,27,27,27,a1,28,target,plaus,The mother handed the kid the rag.,Did the rag receive something/someone?,no,1,28_target_plaus_1.gif,2240
28,28,28,28,a1,29,target,plaus,The zookeeper handed the ape the stone.,Did the ape receive something/someone?,yes,2,29_target_plaus_4.gif,5565
29,29,29,29,a1,30,target,plaus,The traitor handed the thug the knife.,Did the knife receive something/someone?,no,3,30_target_plaus_8.gif,9960
30,30,30,30,a1,31,target,implaus,The cleaner lent the broom the cop.,Did the cop receive something/someone?,no,1,31_target_implaus_1.gif,2245
31,31,31,31,a1,32,target,implaus,The delivery driver lent the perfume the sailor.,Did the perfume receive something/someone?,yes,2,32_target_implaus_4.gif,6205
32,32,32,32,a1,33,target,implaus,The humorous king lent the throne the clown.,Did the clown receive something/someone?,no,3,33_target_implaus_8.gif,11185
33,33,33,33,a1,34,target,implaus,The emperor of Austria lent the watch the tsar.,Did the watch receive something/someone?,yes,1,34_target_implaus_1.gif,2595
34,34,34,34,a1,35,target,implaus,The knight offered the helmet the farmer.,Did the farmer receive something/someone?,no,2,35_target_implaus_4.gif,5575
